鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區幸福路661~690號,0.0,住,,,1090713,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0690206,87.32,0,2,1,有,無,無,48000,550,,0.0,0,第一年至第三年租金48000元，第四年至第五年租金調整為50000元。,RPRPMLTLPHPFFBF07CC
新莊區,建物,新北市新莊區頭前路151~180號,0.0,住,,,1090713,土地0建物1車位1,十層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080822,256.61,4,2,3,有,有,有,51000,199,坡道平面,44.32,0,租金含管理費。,RPUPMLTLPHPFFBF37CC
新莊區,建物,新北市新莊區思源路230巷31~60號,0.0,住,,,1090714,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000331,79.9,2,2,1,有,有,有,27000,338,,0.0,0,租金含管理費。,RPPWMLTLPHPFFBF57CC
新莊區,建物,新北市新莊區中央路541~570號,0.0,商,,,1090717,土地0建物1車位1,五層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070928,93.22,2,2,1,有,有,有,27103,291,坡道平面,0.0,0,,RPRWMLTLPHPFFBF77CC
土城區,建物,新北市土城區金城路三段151~180號,0.0,住,,,1090709,土地0建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860905,108.17,3,1,2,有,有,有,20000,185,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23951，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為20000。機車位2個每月200元另計。管理費另收1310元。,RPSOMLTLPHPFFAF96CC
板橋區,建物,新北市板橋區漢民路63巷1~30號,0.0,住,,,1090718,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.78,3,1,1,有,無,有,16000,217,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20021，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為16000。,RPXPMLTLPHPFFAF57CC
樹林區,房地(土地+建物)+車位,新北市樹林區學勤路301~330號,16.78,商,,,1090722,土地1建物1車位2,一層,28,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980827,263.36,0,0,0,無,有,無,41850,159,坡道平面,67.78,0,,RPRNMLTLPHPFFIF57CC
三峽區,建物,新北市三峽區介壽路一段276巷108弄1~30號,0.0,住,,,1090720,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800903,108.47,3,1,2,有,無,有,13000,120,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為17356，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為13000。,RPWPMLTLPHPFFIF28CC
土城區,建物,新北市土城區中央路二段31~60號,0.0,商,,,1090625,土地0建物1車位0,一層,2,店面(店鋪),住家用,加強磚造,,77.6,0,0,1,有,無,無,46000,593,,0.0,0,,RPPQMLTLPHPFFAF07EC
三重區,建物,新北市三重區自強路三段31~60號,0.0,住,,,1090711,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0600716,67.42,3,1,1,有,無,有,14000,208,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16251，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為14000。,RPRPMLTLPHPFFGF57CC
