鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
后里區,房地(土地+建物),安眉路61~90號,126.78,,特定農業區,農牧用地,1080410,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090414,140.47,4,2,3,有,無,8700000,61935,,0.0,0,,RPTNMLPLQHPFFDB56EA,256.36,24.8,0.0,無
后里區,房地(土地+建物),安眉路61~90號,126.42,,特定農業區,甲種建築用地,1080806,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090414,140.69,4,2,3,有,無,8600000,61127,,0.0,0,,RPUNMLPLQHPFFDB66EA,128.29,12.4,0.0,無
后里區,房地(土地+建物),安眉路61~90號,130.71,,特定農業區,甲種建築用地,1080728,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090414,140.5,4,2,3,有,無,8600000,61210,,0.0,0,,RPVNMLPLQHPFFDB76EA,128.46,12.04,0.0,無
太平區,土地,長福段31~60地號,653.49,住,,,1090714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,66889999,102358,,0.0,0,政府機關標讓售;,RPXNMLPLQHPFFJB57EA,0.0,0.0,0.0,無
潭子區,土地,祥和段181~210地號,43.45,其他,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,46030,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLPLQHPFFHB56EA,0.0,0.0,0.0,無
西區,房地(土地+建物),公益路151~180號,94.0,其他,,,1090604,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0690624,266.95,3,2,2,有,無,34000000,127365,,0.0,0,其他增建;,RPTOMLLMPHPFFAB48DA,266.95,0.0,0.0,無
南區,房地(土地+建物),忠明南路451~480號,28.72,其他,,,1090720,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830111,243.96,4,2,4,有,有,13000000,53287,,0.0,0,,RPXOMLKLPHPFFAB68DA,159.62,26.91,0.0,有
南區,房地(土地+建物)+車位,南和路151~180號,16.9,其他,,,1090724,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030821,185.06,3,2,2,有,有,13550000,73219,坡道平面,56.34,0,,RPQUMLSLPHPFFAB76DA,75.79,11.95,0.0,有
中區,房地(土地+建物),自由路二段121~150號,3.34,其他,,,1090810,土地2建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼骨混凝土造,0680207,27.59,1,0,1,有,有,1460000,52918,,0.0,0,,RPXNMLNKQHPFFAB88DA,23.41,0.0,0.0,有
南區,房地(土地+建物)+車位,復興北路751~780號,28.7,其他,,,1090720,土地2建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030920,240.32,4,2,2,有,有,15950000,66370,坡道平面,66.82,0,,RPPNMLNLPHPFFAB08DA,107.42,10.82,0.0,有
西區,房地(土地+建物),中美街379巷31~60號,25.0,其他,,,1090806,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,0631205,64.98,0,0,0,無,無,4500000,69252,,0.0,0,,RPXOMLTKQHPFFAB96DA,57.92,7.06,0.0,無
南區,房地(土地+建物)+車位,文心南路541~570號,15.33,其他,,,1090721,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871015,167.21,4,2,2,有,有,9500000,56815,坡道平面,14.2,0,陽台外推;,RPSQMLTKQHPFFAB66DA,95.12,14.99,0.0,有
中區,房地(土地+建物),公園路21之1~30號,2.24,其他,,,1090807,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0580415,44.52,2,1,1,有,有,2500000,56155,,0.0,0,,RPXNMLOLQHPFFAB09DA,44.52,0.0,0.0,有
東區,房地(土地+建物),大公街61~90號,71.0,其他,,,1090707,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0510401,112.4,4,2,2,有,無,15500000,137900,,0.0,0,其他增建;,RPURMLLLQHPFFAB88DA,112.4,0.0,0.0,無
南區,房地(土地+建物),建成路1011巷31~60號,26.62,其他,,,1090813,土地1建物1車位0,一層，地下層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680731,133.06,4,2,1,有,無,6500000,48850,,0.0,0,含仲介費;,RPPNMLNLQHPFFAB18DA,133.06,0.0,0.0,無
南區,房地(土地+建物)+車位,復興路二段71巷77弄61~90號,13.06,其他,,,1090716,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830825,119.53,3,2,1,有,有,5550000,46432,坡道機械,0.0,0,,RPPNMLOLQHPFFAB28DA,73.83,8.62,0.0,有
西區,房地(土地+建物)+車位,五權西路一段151~180號,40.35,其他,,,1090719,土地2建物1車位2,十層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981027,300.03999999999996,3,2,2,有,有,33000000,109985,坡道平面,58.16,0,,RPSNMLOLQHPFFAB58DA,147.07,23.09,0.0,有
西區,房地(土地+建物)+車位,五權三街55巷1~30號,33.58,其他,,,1090606,土地1建物1車位2,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060919,212.73000000000002,2,2,2,有,有,20000000,118545,坡道平面,77.76,4000000,含仲介費;,RPTNMLOLQHPFFAB68DA,69.62,19.8,0.0,有
