鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
七堵區,土地,草濫段草濫小段31~60地號,222.0,,山坡地保育區,交通用地,1090706,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,488400,2200,,0.0,0,,RPUNMLTKQHPFFCC96EA,0.0,0.0,0.0,
七堵區,房地(土地+建物)+車位,光明路1~30號,28.68,其他,,,1090720,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020704,192.07,2,2,2,有,有,15150000,78877,坡道平面,0.0,0,,RPVNMLTKQHPFFCC07EA,100.02,7.59,12.84,
暖暖區,房地(土地+建物),碇內街271~300號,15.72,其他,,,1090810,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,77.85,2,1,1,有,有,2000000,25690,,0.0,0,,RPPNMLKLQHPFFCC28EA,46.95,0.81,8.87,
暖暖區,房地(土地+建物),源遠路151~180號,19.79,其他,,,1090720,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080102,127.65,3,2,2,有,有,8730000,68390,,0.0,0,,RPPNMLSKQHPFFCC98EA,74.4,5.0,7.44,
暖暖區,房地(土地+建物)+車位,源遠路151~180號,29.89,其他,,,1090727,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080102,214.06,3,2,2,有,有,14400000,67271,坡道平面,23.92,0,,RPQNMLSKQHPFFCC09EA,109.15,6.71,13.19,
安樂區,房地(土地+建物),樂一路91~120號,25.9,其他,,,1090726,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0800604,94.62,2,1,1,有,無,3000000,31706,,0.0,0,,RPUOMLTKQHPFFCC96DA,79.24,6.4,8.98,
安樂區,房地(土地+建物),基金一路208巷148弄1~30號,26.29,其他,,,1090704,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,96.02,3,2,2,有,有,3250000,33847,,0.0,0,,RPVOMLSKQHPFFCC96DA,76.23,0.0,9.57,
安樂區,房地(土地+建物),麥金路151~180號,28.0,其他,,,1090810,土地1建物1車位0,二層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820915,134.35,3,2,2,有,無,6100000,45404,,0.0,0,,RPQPMLSKQHPFFCC56DA,119.51,0.0,5.53,
暖暖區,房地(土地+建物),碇內街271~300號,20.9,其他,,,1090805,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,100.83999999999999,3,2,2,有,有,2600000,25783,,0.0,0,,RPOOMLSKQHPFFCC88DA,65.38,0.69,7.89,
七堵區,土地,溪頭段31~60地號,117.48,其他,,,1090610,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6752162,57475,,0.0,0,,RPVOMLLKQHPFFCC88DA,0.0,0.0,0.0,
七堵區,房地(土地+建物)+車位,福二街301~330號,34.61,其他,,,1090518,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041020,161.68,3,2,2,有,有,11500000,71128,坡道平面,0.0,0,,RPPNMLMKQHPFFCC28DA,79.72,0.0,11.13,
中山區,房地(土地+建物),復興路334巷31~60號,46.55,其他,,,1090729,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970701,122.78,3,2,2,有,有,6630000,53999,,0.0,0,,RPWNMLRJQHPFFCC76DA,84.18,0.0,9.0,
安樂區,房地(土地+建物),樂利二街62巷91~120號,34.03,其他,,,1090706,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841002,106.63000000000001,2,2,1,有,有,4750000,44547,,0.0,0,,RPVPMLKKQHPFFCC88DA,80.42,1.83,10.18,
仁愛區,房地(土地+建物),南榮路393巷1~30號,32.0,住,,,1090730,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660620,73.67,3,2,1,有,無,2600000,35293,,0.0,0,,RPPOMLTKQHPFFBC98DA,73.67,0.0,0.0,
仁愛區,房地(土地+建物),劉銘傳路104巷61~90號,29.34,住,,,1090731,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830817,100.16,3,2,2,有,無,2700000,26957,,0.0,0,,RPXNMLTKQHPFFBC07DA,84.68,0.0,8.6,
信義區,房地(土地+建物)+車位,福民街1~30號,56.28,其他,,,1061013,土地1建物1車位1,一層，二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081206,211.87,4,2,3,有,有,10700000,60401,坡道平面,49.62,900000,,RPOOMLKKQHPFFBC97DA,107.32,0.0,12.52,
中正區,房地(土地+建物),觀海街61~90號,14.2,住,,,1090813,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,70.77,2,1,2,有,有,2350000,33206,,0.0,0,,RPTQMLRKQHPFFBC76DA,51.22,0.0,6.7,
仁愛區,建物,仁二路137巷4弄1~30號,0.0,,,,1090804,土地0建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651220,57.54,2,2,2,有,無,936000,16267,,0.0,0,房屋基地座落土地與市府承租。,RPVQMLRKQHPFFBC96DA,57.54,0.0,0.0,
中正區,房地(土地+建物),立德路31~60號,17.0,住,,,1090722,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,,78.91,3,2,1,有,無,2850000,36117,,0.0,0,,RPWOMLTKQHPFFBC07DA,68.88,0.0,10.03,
仁愛區,房地(土地+建物),仁二路27巷1~30號,20.75,住,,,1090811,土地9建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630114,66.25,3,0,3,有,無,3200000,48302,,0.0,0,,RPUNMLKLQHPFFBC58DA,57.65,0.0,8.6,
中正區,房地(土地+建物)+車位,觀海街31~60號,15.03,住,,,1090811,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,109.78999999999999,2,1,2,有,有,4680000,42627,坡道平面,0.0,0,,RPWNMLKLQHPFFBC78DA,50.71,0.0,6.7,
仁愛區,房地(土地+建物),愛四路28巷1~30號,26.8,商,,,1090718,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680118,83.94,3,2,2,有,無,3800000,45270,,0.0,0,,RPUNMLLLQHPFFBC68DA,83.94,0.0,0.0,
信義區,房地(土地+建物),深溪路36巷70弄1~30號,27.16,其他,,,1090703,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840525,137.66,4,2,2,有,有,5600000,40680,,0.0,0,,RPVNMLLLQHPFFBC78DA,101.18,11.54,0.0,
中正區,房地(土地+建物),新豐街211~240號,13.31,住,,,1090730,土地1建物1車位0,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,72.12,2,1,1,有,有,3430000,47560,,0.0,0,,RPOOMLTKQHPFFBC88DA,48.86,1.38,4.84,
中正區,房地(土地+建物)+車位,新豐街271~300號,19.24,商,,,1090201,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,137.39000000000001,3,2,2,有,有,4800000,34937,坡道平面,0.0,0,,RPWNMLSKQHPFFBC86DA,68.63,0.99,7.14,
中正區,房地(土地+建物),觀海街91~120號,15.03,住,,,1090703,土地2建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,74.03,0,2,1,有,有,2700000,36472,,0.0,0,,RPQOMLTKQHPFFBC09DA,50.71,0.0,6.7,
中正區,房地(土地+建物)+車位,觀海街91~120號,23.4,住,,,1090703,土地2建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,162.31,3,2,1,有,有,4850000,34803,坡道平面,45.94,800000,土地價格2050000元建物價格2000000元車位價格800000元,RPSOMLTKQHPFFBC66DA,80.69,0.0,10.63,
安樂區,房地(土地+建物),樂利二街62巷331~360號,75.78,其他,,,1090707,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960102,264.21,3,3,3,有,有,13560000,51323,,0.0,0,,RPROMLLKQHPFFCC48DA,228.17,0.0,11.37,
安樂區,房地(土地+建物),武隆街103巷55弄31~60號,16.32,其他,,,1090721,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831108,64.68,3,2,2,有,有,1850000,28602,,0.0,0,,RPXOMLKKQHPFFCC98DA,48.76,1.68,4.42,
暖暖區,房地(土地+建物),過港路91~120號,30.93,其他,,,1090710,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900524,99.23,3,2,2,有,無,3600000,36279,,0.0,0,,RPOPMLTKQHPFFCC09DA,78.68,0.0,9.79,
中山區,房地(土地+建物),復興路212巷10弄1~30號,31.01,其他,,,1090719,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711217,90.96000000000001,3,2,2,有,無,3200000,35180,,0.0,0,,RPQPMLTKQHPFFCC66DA,75.27,0.0,7.63,
七堵區,房地(土地+建物)+車位,百六街107巷1~30號,27.7,其他,,,1090718,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090406,166.73000000000002,3,2,2,有,有,13480000,89202,坡道平面,34.67,1700000,,RPUNMLKLQHPFFCC68DA,74.39,6.06,8.63,
七堵區,房地(土地+建物)+車位,百六街107巷1~30號,27.7,其他,,,1090708,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090406,166.73000000000002,3,2,2,有,有,13000000,84810,坡道平面,34.67,1800000,,RPVNMLKLQHPFFCC78DA,74.39,6.06,8.63,
七堵區,房地(土地+建物)+車位,百六街107巷1~30號,27.23,其他,,,1090729,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090406,164.54000000000002,3,2,2,有,有,12380000,82236,坡道平面,34.67,1700000,,RPWNMLKLQHPFFCC88DA,73.18,6.06,8.35,
暖暖區,房地(土地+建物),碇內街451~480號,17.51,其他,,,1090619,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,81.19,3,1,1,有,有,1750000,21554,,0.0,0,,RPOOMLKLQHPFFCC18DA,54.29,0.81,7.03,
安樂區,房地(土地+建物)+車位,麥金路301~330號,24.52,其他,,,1090730,土地3建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,231.58,4,2,2,有,有,17600000,76000,坡道平面,0.0,0,,RPQOMLKLQHPFFCC38DA,124.12,4.52,23.47,
暖暖區,房地(土地+建物),碇內街121~150號,100.8,其他,,,1090726,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690919,76.76,2,4,2,有,無,5000000,65138,,0.0,0,,RPVNMLLLQHPFFCC88DA,76.76,0.0,0.0,
安樂區,房地(土地+建物),崇德路82巷61~90號,100.0,其他,,,1090714,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0690926,85.58,5,2,5,有,無,3500000,40897,,0.0,0,,RPQPMLLLQHPFFCC58DA,85.58,0.0,0.0,
暖暖區,房地(土地+建物)+車位,源遠路151~180號,20.52,其他,,,1090802,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080102,145.45,3,2,2,有,有,10020000,68890,坡道機械,15.16,0,,RPRNMLSKQHPFFCC56EA,74.21,5.0,9.36,
中正區,房地(土地+建物)+車位,新豐街451~480號,16.65,其他,,,1090731,土地5建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,114.72,2,2,1,有,有,4550000,39662,坡道平面,34.17,0,,RPPPMLMKQHPFFBC48EA,55.92,0.86,8.67,
中正區,房地(土地+建物),觀海街1~30號,24.57,住,,,1090726,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,129.45,4,2,2,有,有,4100000,31672,,0.0,0,,RPQPMLMKQHPFFBC58EA,88.85,0.0,13.15,
安樂區,房地(土地+建物),基金一路112巷110弄1~30號,36.79,其他,,,1090627,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851107,151.27,3,3,2,有,有,5000000,33053,,0.0,0,,RPQOMLRKQHPFFCC98DA,122.78,0.0,11.24,
七堵區,房地(土地+建物)+車位,明德二路1~30號,12.55,其他,,,1090729,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,103.69,2,1,1,有,有,3750000,36165,坡道平面,38.45,0,,RPVNMLSLPHPFFCC96EA,84.29,0.76,5.93,
安樂區,房地(土地+建物),樂利三街263巷12弄1~30號,26.38,其他,,,1090705,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701130,80.44,3,2,2,有,無,1500000,18647,,0.0,0,,RPQNMLKLQHPFFCC38EA,80.44,0.0,0.0,
安樂區,房地(土地+建物),樂利三街38巷61~90號,21.94,其他,,,1090811,土地3建物1車位0,地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690611,38.78,2,1,1,有,無,1570000,40485,,0.0,0,,RPQNMLLLQHPFFCC48EA,38.78,0.0,0.0,
安樂區,房地(土地+建物),麥金路391~420號,31.5,其他,,,1090731,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670809,61.41,2,1,1,有,無,1950000,31754,,0.0,0,,RPVNMLLKQHPFFCC88EA,61.41,0.0,0.0,
暖暖區,房地(土地+建物)+車位,八堵路151~180號,48.31,其他,,,1090616,土地1建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021129,146.57999999999998,3,2,2,有,有,9600000,65493,其他,0.0,1200000,,RPTNMLSKQHPFFCC76EA,97.97,2.4,6.68,
七堵區,房地(土地+建物)+車位,明德二路1~30號,15.8,其他,,,1090725,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010626,153.89,3,2,2,有,有,8600000,55884,坡道平面,28.94,0,,RPPNMLOLQHPFFCC68EA,80.92,0.96,7.45,
安樂區,房地(土地+建物),崇德路121~150號,45.75,其他,,,1090726,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780621,134.36,4,2,3,有,無,3800000,28282,,0.0,0,,RPWNMLOLQHPFFCC66DA,111.44,0.0,12.85,
七堵區,房地(土地+建物),崇信街21巷1~30號,34.25,其他,,,1090804,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620821,64.67,3,2,1,有,無,7850000,121385,,0.0,0,,RPWNMLLLQHPFFCC98DA,64.67,0.0,0.0,
