鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
岡山區,房地(土地+建物),高雄市岡山區嘉華路271~300號,261.0,,特定農業區,甲種建築用地,1090712,土地1建物1車位0,見其他登記事項,1,工廠,住家用,磚造,0571230,126.55,0,0,0,無,無,無,24000,,,0.0,0,含增建或未登記建物。;承租含未保存登記建物共約65坪,RPOQMLOLPHPFFFE66CC
岡山區,房地(土地+建物),高雄市岡山區為隨東路61~90號,250.0,,特定農業區,丁種建築用地,1090722,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0981124,164.99,2,1,1,有,無,無,33000,,,0.0,0,含增建或未登記建物。;承租含未保存登記建物共約60坪,RPPQMLOLPHPFFFE76CC
三民區,房地(土地+建物)+車位,高雄市三民區博愛一路361~390號,14.54,商,,,1090710,土地1建物1車位1,十二層,24,辦公商業大樓,,鋼筋混凝土造,0790814,273.16,0,0,0,無,有,無,57000,209,坡道平面,25.16,0,分租辦公室，含稅,RPOOMLOLPHPFFDE88CC
三民區,建物,高雄市三民區建國二路91~120號,0.0,商,,,1090713,土地0建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830629,35.11,1,0,1,有,有,有,6500,185,,0.0,0,,RPOPMLOLPHPFFDE98CC
三民區,建物,高雄市三民區天津街57巷1~30號,0.0,住,,,1090723,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0601015,47.04,1,0,1,有,無,有,6500,138,,0.0,0,本案為共隔5間分租套房，本次僅出租此間為47.04平方公尺,RPRQMLOLPHPFFDE76CC
三民區,房地(土地+建物),高雄市三民區長明街22巷1~30號,43.46,商,,,1090704,土地1建物1車位0,全,2,透天厝,,加強磚造,0571110,66.38,2,2,2,有,無,有,12000,181,,0.0,0,,RPRSMLOLPHPFFDE96CC
楠梓區,房地(土地+建物),高雄市楠梓區德民路331~360號,76.0,住,,,1090629,土地1建物1車位0,見其它登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0950630,237.44,6,4,4,有,無,有,36000,152,,0.0,0,,RPRQMLOLPHPFFEE86CC
左營區,房地(土地+建物),高雄市左營區華夏路271~300號,854.0,住,,,1090723,土地2建物1車位0,見其它登記事項,2,店面(店鋪),見使用執照,見使用執照,0941101,514.1,0,0,0,無,無,無,100000,195,,0.0,0,,RPSQMLOLPHPFFEE96CC
左營區,房地(土地+建物),高雄市左營區明華一路331~360號,46.23,商,,,1090721,土地1建物1車位0,見其它登記事項,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0800502,588.79,0,0,0,無,無,有,110000,187,,0.0,0,,RPORMLOLPHPFFEE66CC
前鎮區,房地(土地+建物),高雄市前鎮區廣西路211~240號,14.37,住,,,1090723,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,97.94,2,2,1,有,有,有,23000,235,,0.0,0,,RPRNMLOLPHPFFCE98CC
前鎮區,房地(土地+建物),高雄市前鎮區南寧街1~30號,10.6,住,,,1090723,土地2建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060608,109.19,2,1,1,有,有,有,23000,211,,0.0,0,,RPVNMLOLPHPFFCE76CC
小港區,土地,坪頂段31~60地號,332.24,住,,,1090701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,90,,0.0,0,含增建或未登記建物。;承租未保存登記建物約85坪,RPROMLOLPHPFFCE09CC
鼓山區,建物,高雄市鼓山區中華一路811~840號,32.06,商,,,1090723,土地0建物1車位2,七層,13,辦公商業大樓,商業用,鋼筋混凝土造,0980818,272.5,2,0,0,有,有,有,50000,183,坡道平面,37.5,0,,RPVNMLOLPHPFFAE56CC
新興區,建物,高雄市新興區文橫二路167巷31~60號,0.0,商,,,1090706,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690421,67.32,3,1,1,有,無,有,12000,178,,0.0,0,,RPQNMLOLPHPFFBE78CC
新興區,房地(土地+建物),高雄市新興區自立二路61~90號,12.86,商,,,1090715,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050617,185.19,3,2,2,有,有,有,33000,178,,0.0,0,,RPWNMLOLPHPFFBE76CC
新興區,房地(土地+建物),高雄市新興區仁愛一街211~240號,22.85,商,,,1090724,土地2建物1車位0,六層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0710811,124.11,3,2,2,有,有,無,14000,113,,0.0,0,含管理費,RPOOMLOLPHPFFBE68CC
鳳山區,建物,高雄市鳳山區國富路1~30號,0.0,其他,,,1090701,土地0建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840512,156.10000000000002,3,2,2,有,有,有,15000,96,,0.0,0,,RPPOMLOLPHPFFGE66CC
阿蓮區,土地,崙子頂段2551~2580地號,2388.0,,特定農業區,農牧用地,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,165000,69,,0.0,0,含增建或未登記建物。;承租未保存登記建物約650坪,RPQOMLOLPHPFFJE07CC
左營區,土地,福民段271~300地號,251.7,住,,,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,33000,131,,0.0,0,此物建為有申請門牌的廠房空間.但沒有標的物建號.無法輸入標的清冊之建物欄位.故選擇標的種類為土地.特此說明,RPPNMLPLPHPFFEE09CC
左營區,房地(土地+建物)+車位,高雄市左營區華夏路1711~1740號,15.45,住,,,1090725,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851014,123.99,3,2,2,有,有,有,11000,89,坡道機械,0.0,0,續租。;,RPUNMLPLPHPFFEE96CC
左營區,房地(土地+建物)+車位,高雄市左營區文強路301~330號,23.45,住,,,1090701,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941125,169.94,4,2,2,有,有,有,25000,147,坡道平面,16.52,0,,RPXOMLRLPHPFFEE57CC
左營區,建物,高雄市左營區重仁路31~60號,0.0,商,,,1090708,土地0建物0車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840523,135.96,2,2,2,有,有,有,13000,96,,0.0,0,部分承租，公設面積無法分算。租金含管理費。,RPTRMLRLPHPFFEE47CC
楠梓區,建物,高雄市楠梓區大學二十街1~30號,0.0,商,,,1090724,土地0建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070502,99.74000000000001,2,1,1,有,有,有,16000,160,,0.0,0,,RPWRMLRLPHPFFEE77CC
三民區,建物,高雄市三民區中山一路325巷1~30號,0.0,商,,,1090724,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850417,47.87,1,1,1,有,有,有,6500,136,,0.0,0,高雄市政府包租代管計畫,RPUOMLRLPHPFFDE17CC
