鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
楠梓區,房地(土地+建物)+車位,興楠路355巷56弄1~30號,10.98,其他,,,1090729,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970108,136.32,3,2,2,有,有,6250000,45848,坡道平面,19.86,0,,RPQPMLOJQHPFFEE09DA,75.51,9.84,0.0,有
左營區,房地(土地+建物),重治路61~90號,21.51,其他,,,1090724,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870601,144.0,3,2,2,有,有,6660000,46250,,0.0,0,陽台外推;,RPROMLQJQHPFFEE66DA,95.8,10.03,0.0,有
左營區,房地(土地+建物)+車位,民族一路1171~1200號,20.3,其他,,,1090721,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,223.7,3,2,2,有,有,11300000,50514,坡道平面,40.25,0,親友、員工、共有人或其他特殊關係間之交易;,RPXPMLKKQHPFFEE86DA,83.51,34.22,0.0,有
左營區,房地(土地+建物)+車位,文川路181~210號,8.84,其他,,,1090725,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080814,146.7,3,2,2,有,有,11150000,76005,坡道平面,28.96,0,,RPRRMLKKQHPFFEE09DA,69.02,6.33,0.0,有
左營區,房地(土地+建物)+車位,民族一路1171~1200號,20.45,其他,,,1090724,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,225.39,4,2,2,有,有,12500000,55459,坡道平面,41.94,0,,RPUNMLMKQHPFFEE56DA,83.51,34.22,0.0,有
楠梓區,房地(土地+建物)+車位,後昌路837巷23弄1~30號,26.37,其他,,,1090622,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820512,131.32,3,2,2,有,有,4600000,35029,坡道平面,0.0,0,,RPUPMLNKQHPFFEE86DA,91.76,9.04,0.0,有
左營區,房地(土地+建物),文學路611巷31~60號,9.42,其他,,,1090811,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080806,92.28,2,2,2,有,有,7630000,82683,,0.0,0,,RPSQMLOKQHPFFEE86DA,50.78,9.45,0.0,有
左營區,房地(土地+建物)+車位,文學路611巷31~60號,18.25,其他,,,1090811,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080806,189.89,3,2,2,有,有,13000000,68461,坡道平面,27.06,0,,RPTQMLOKQHPFFEE96DA,80.78,25.56,0.0,有
左營區,房地(土地+建物),先鋒路303巷1~30號,101.0,其他,,,1090718,土地1建物1車位0,全,四層,透天厝,見使用執照,鋼筋混凝土造,0950505,216.26,5,2,4,有,無,17500000,80921,,0.0,0,,RPUQMLOKQHPFFEE07DA,193.41,22.85,0.0,無
楠梓區,房地(土地+建物),楠梓新路190巷31~60號,93.0,其他,,,1090630,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0771206,301.88,4,2,3,有,無,12600000,41738,,0.0,0,,RPSQMLRKQHPFFEE17DA,283.09,18.79,0.0,無
楠梓區,房地(土地+建物),學專路800巷8弄1~30號,71.01,其他,,,1090709,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1021016,189.54,5,2,4,有,無,11800000,62256,,0.0,0,,RPVOMLSKQHPFFEE37DA,165.66,23.88,0.0,無
左營區,房地(土地+建物)+車位,重愛路91~120號,12.99,其他,,,1090722,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840824,114.7,3,2,2,有,有,5200000,45336,升降機械,0.0,0,,RPWOMLSKQHPFFEE47DA,76.09,11.34,0.0,有
楠梓區,房地(土地+建物)+車位,朝明路116巷61~90號,5.44,其他,,,1090723,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060123,54.67,2,1,1,有,有,1850000,33839,坡道機械,14.64,0,,RPOQMLSKQHPFFEE86DA,23.54,3.27,0.0,有
楠梓區,房地(土地+建物),興楠路355巷61~90號,1.77,其他,,,1090812,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0960604,14.94,1,1,1,有,有,750000,50201,,0.0,0,夾層;,RPUQMLSKQHPFFEE47DA,8.19,0.41,0.0,有
楠梓區,房地(土地+建物),德民路61~90號,8.16,其他,,,1090730,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090612,85.73,2,2,1,有,有,4060000,47358,,0.0,0,,RPROMLTKQHPFFEE07DA,51.64,4.07,0.0,有
楠梓區,土地,芎蕉段1~30地號,276.91,其他,,,1090612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20940000,75620,,0.0,0,,RPVOMLTKQHPFFEE47DA,0.0,0.0,0.0,無
楠梓區,房地(土地+建物)+車位,秀群路499巷7弄1~30號,7.21,其他,,,1090713,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,99.08,2,2,1,有,有,4900000,49455,坡道機械,8.26,0,,RPVNMLKLQHPFFEE56DA,48.55,11.27,0.0,有
左營區,房地(土地+建物),立道路1~30號,3.73,其他,,,1090726,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830115,33.269999999999996,1,1,1,有,無,1800000,54103,,0.0,0,,RPTTMLKLQHPFFEE96DA,19.95,4.87,0.0,有
燕巢區,土地,安西段961~990地號,2911.0,其他,,,1090410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,6183,,0.0,0,,RPPNMLPLPHPFFFE09DA,0.0,0.0,0.0,無
永安區,土地,舊港口段1~30地號,36.98,,鄉村區,乙種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,251450,6800,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTOMLRJQHPFFFE07DA,0.0,0.0,0.0,無
岡山區,土地,新本洲段721~750地號,143.48,,鄉村區,乙種建築用地,1090807,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,6970,,0.0,0,有2筆土地是道路用地,RPVNMLSKQHPFFFE37DA,0.0,0.0,0.0,無
燕巢區,土地,瓊中段301~330地號,3467.78,,一般農業區,農牧用地,1090724,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7480000,2157,,0.0,0,,RPUNMLTKQHPFFFE37DA,0.0,0.0,0.0,無
