sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 桃園市政府文化局, 46, 11, 24.994184, 121.300537, 35, 1, 2056, 桃園區, 20200817231725, 縣府路21號面文化局左側路側, Taoyuan Dist., Departmaent of Cultural Affairs, Taoyuan, No.21, Xianfu Rd. 
 成功春日路口, 100, 27, 24.994177, 121.317130, 69, 1, 2057, 桃園區, 20200817231738, 成功路二段春日路口東南側人行道, Taoyuan Dist., Chenggong & Chunri Rd. Intersection, Chenggong Rd./Chunri Rd. 
 忠孝廣場, 50, 14, 24.972516, 121.256853, 34, 1, 2058, 中壢區, 20200817231738, 忠孝路8-22號對面路側, Zhongli Dist., Zongxiao Square, No.8-22, Zhongxiao Rd.(opposite) 
 忠福廣場, 40, 32, 24.971805, 121.227697, 7, 1, 2059, 中壢區, 20200817231730, 南園二路292號對面忠福廣場旁人行道, Zhongli Dist., Zhongfu Square, No.292, Nanyuan 2nd Rd.(opposite) 
 健行科技大學, 66, 42, 24.946778, 121.229011, 22, 1, 2060, 中壢區, 20200817231728, 健行路229號(商學大樓後人行道), Zhongli Dist., Chien Hsin University of Science and Technology, No.229, Jianxing Rd. 
 啟英高中, 50, 15, 24.975610, 121.234553, 34, 1, 2061, 中壢區, 20200817231731, 西園路76號對面啟英高中旁人行道, Zhongli Dist., Chi-Ying Senior High School, No.76, Xiyuan Rd.(opposite) 
 內壢文化公園, 42, 20, 24.979567, 121.250102, 20, 1, 2062, 中壢區, 20200817231739, 文化路長春二路西北側公園旁人行道, Zhongli Dist., Neili Wenhua Park, Wenhua Rd./Changchun 2nd Rd. 
 萬能科技大學, 60, 25, 24.992749, 121.229925, 33, 1, 2063, 中壢區, 20200817231725, 萬能路1號(萬芳樓後方人行道), Zhongli Dist., Vanung University of Technology, No.1, Changchun 2nd Rd. 
 中德里休閒廣場, 34, 16, 24.962275, 121.293209, 14, 1, 2064, 桃園區, 20200817231739, 國際一路國際二路口西南側停車場, Taoyuan Dist., Zhongde Square, Guoji 1st Rd./Guoji 2nd Rd. 
 桃園巨蛋, 72, 15, 24.995393, 121.323924, 54, 1, 2065, 桃園區, 20200817231737, 三民路100號對面人行道, Taoyuan Dist., Taoyuan Arena, No.100, Sanmin Rd.(opposite) 
 龜山區公所, 40, 10, 24.992532, 121.337660, 29, 1, 2066, 龜山區, 20200817231719, 中山街26號前方人行道, Guishan Dist., Civil Affairs Office of Guishan District, No.26, Zhongshan St. 
 龜山國中, 36, 28, 24.997536, 121.339485, 8, 1, 2067, 龜山區, 20200817231742, 自強西路66號前方人行道, Guishan Dist., Guishan Junior High School, No.66, Ziqiang W. Rd. 
 西門綠園, 32, 15, 24.993968, 121.303884, 15, 1, 2068, 桃園區, 20200817231733, 文康街61號對面人行道, Taoyuan Dist., Ximen Greens, No.61, Wenkang St.(opposite) 
 衛福部桃園醫院, 34, 9, 24.979389, 121.268981, 25, 1, 2069, 桃園區, 20200817231727, 龍壽街60號對面人行道, Taoyuan Dist., Taoyuan General Hospital, Ministry of Health and Welfare, No.60, Longshou St.(opposite) 
