sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 龜山中正公園, 38, 0, 24.999606, 121.343598, 0, 0, 2271, 龜山區, 20200319090239, 自強北路19號對面人行道, Guishan Dist., Guishan Zhongzheng Park, No.19, Ziqiang N. Rd.(opposite) 
 大仁里遊樂場, 36, 11, 24.968349, 121.319564, 24, 1, 2272, 八德區, 20200817231744, 中華段 764地號, Bade Dist., Daren Playground, No.764 of Zhonghua Section  
 萬坪公園, 36, 19, 24.932823, 121.249297, 17, 1, 2273, 中壢區, 20200817231734, 龍昌路龍川九街路口旁人行道, Zhongli Dist., Wanping Park, Longchang Rd./ Longchuan 9th St. 
 龍興國中, 40, 13, 24.937841, 121.236378, 26, 1, 2274, 中壢區, 20200817231739, 龍勇路100號前方人行道, Zhongli Dist., Longxing Junior High School, No.100, Longyong Rd. 
 竹風青田, 28, 10, 25.011504, 121.20184, 17, 1, 2275, 中壢區, 20200817231716, 永園路一段130號前方人行道, Zhongli Dist., TrueFull QingTian, No.130, Yongyuan Rd. 
 新福二路大仁街口, 30, 11, 24.970672, 121.105909, 19, 1, 2276, 新屋區, 20200817231738, 新福二路/大仁街路口旁人行道, Xinwu Dist., Xinfu 2nd & Daren Intersection, Xinfu 2nd Rd./Daren St. 
 龍安里集會所, 32, 14, 24.93149, 121.25766, 18, 1, 2277, 中壢區, 20200817231721, 龍江路99號前方廣場, Zhongli Dist., Longan Activity Center, No.99, Longjiang Rd. 
 四維兒童公園, 32, 11, 24.91279, 121.18062, 20, 1, 2278, 楊梅區, 20200817231727, 四維二路95號對面公園, Yangmei Dist., Siwei Children's Park, No.95, Siwei 2nd Rd. 
 新屋區公所, 42, 28, 24.972532, 121.105284, 13, 1, 2279, 新屋區, 20200817231731, 中山路267巷1號對面路側, Xinwu Dist., Civil Affairs Office of Xinwu District, No.1, Ln. 267, Zhongshan Rd.(opposite) 
 國信公園, 40, 22, 24.994389, 121.286743, 17, 1, 2280, 桃園區, 20200817231727, 國信街1號對面公園, Taoyuan Dist., Guosin Park, No.1, Guoxin St.(opposite) 
 經國轉運站, 40, 12, 25.02986, 121.3008, 26, 1, 2281, 桃園區, 20200817231721, 水汴頭段14地號園道內, Taoyuan Dist., JingGuo Bus Station, No.14 of Shubiantou Section  
 中壢仁德公園, 38, 12, 24.953347, 121.266529, 26, 1, 2282, 中壢區, 20200817231744, 崁頂路崁頂路1401巷口旁人行道, Zhongli Dist., Zhongli Rende Park, Ln. 1401, Kanding Rd./Kanding Rd. 
 八德楓樹腳公園, 40, 11, 24.935287, 121.297258, 29, 1, 2283, 八德區, 20200817231717, 介壽路二段931號對面公園, Bade Dist., Bade Fengshujiao park, No.931, Sec. 2, Jieshou Rd.(opposite) 
 龍慈龍和三街口, 40, 15, 24.940105, 121.243768, 25, 1, 2284, 中壢區, 20200817231744, 龍慈路與龍和三街旁路側, Zhongli Dist., Longci & Longhe 3rd st. Intersection, Longcih Rd./Longhe 3rd St. 
 功學社新村, 30, 14, 24.954249, 121.256356, 16, 1, 2285, 中壢區, 20200817231738, 功學路156號前方空地, Zhongli Dist., Gongxueshexincun, No.156, Gongxue Rd. 
 六和兒童公園, 32, 23, 24.963642, 121.224583, 8, 1, 2286, 中壢區, 20200817231719, 六和路55號對面公園, Zhongli Dist., Liuhe Children's Park, No.55, Liouhe Rd.(opposite) 
 海湖農會, 24, 8, 25.101066, 121.263396, 15, 1, 2287, 蘆竹區, 20200817231715, 海湖東路77號旁空地, Luzhu Dist., Haihu Farmers' Association, No.77, Haihu E. Rd. 
 桃園市立圖書館龍潭分館, 36, 17, 24.863704, 121.216174, 19, 1, 2288, 龍潭區, 20200817231717, 中正路210號對面路側, Longtan Dist., Taoyuan City Library Longtan Branch, No.210, Zhongzheng Rd.(opposite) 
 台北榮民總醫院桃園分院, 46, 26, 25.002531, 121.323988, 18, 1, 2289, 桃園區, 20200817231726, 成功路三段三聖路口旁人行道, Taoyuan Dist., Taipei Veterans General Hospital Taoyuan Branch, Sec. 3, Chenggong Rd./Sansheng Rd. 
 大竹游泳池, 40, 17, 25.021193, 121.257617, 23, 1, 2290, 蘆竹區, 20200817231738, 大新一街115號旁空地, Luzhu Dist., Dazhu Swimming Pool, No.115, Daxin 1st St. 
 富岡運動公園, 40, 11, 24.93788, 121.089127, 29, 1, 2291, 楊梅區, 20200817231727, 新富七街180號斜對面, Yangmei Dist., Fugang Sports Park, No.180, Xinfu 7th St.(opposite) 
 捷運坑口站(A11), 48, 8, 25.086895, 121.265778, 36, 1, 2292, 蘆竹區, 20200817231722, 捷運坑口站(A11)出入口前, Luzhu Dist., MRT Kengkou Station(A11), Kengkou Station Exit 1 
 蘆竹親子公園, 36, 22, 25.059, 121.295414, 14, 1, 2293, 蘆竹區, 20200817231731, 六福路163號對面廣場, Luzhu Dist., Luzhu Parent-child Park, No.163, Liufu Rd. 
 好市多南崁店, 30, 13, 25.054957, 121.282179, 17, 1, 2294, 蘆竹區, 20200817231742, 南崁路一段369號 前方人行道, Luzhu Dist., Costco Nankan Branch, No.369, Sec. 1, Nankan Rd. 
 山頂里集會所, 36, 19, 24.986224, 121.33042, 17, 1, 2295, 龜山區, 20200817231725, 明興街36號旁人行道及路側, Guishan Dist., Shanding Activity Center, No.36, Mingsing St. 
 臻愛家社區, 32, 19, 24.987167, 121.324152, 12, 1, 2296, 龜山區, 20200817231729, 建國東路31號旁人行道, Guishan Dist., ZhenAiJia Community, No.31, Jianguo E. Rd. 
 八德區衛生所, 30, 16, 24.947541, 121.298567, 13, 1, 2297, 八德區, 20200817231720, 介壽路二段361巷28號前廣場, Bade Dist., Public Health Center of Bade District, No.28, Ln. 361, Sec. 2, Jieshou Rd. 
 大埔國小, 32, 13, 25.030009, 121.375351, 19, 1, 2298, 龜山區, 20200817231726, 振興路1169號前人行道, Guishan Dist., Da Pu Elementary School, No.1169, Zhenxing Rd. 
 水汴頭音樂廣場, 36, 4, 25.023323, 121.305316, 32, 1, 2299, 桃園區, 20200817231722, 鹽庫西街70號對面空地, Taoyuan Dist., Shuibiantou Music Square, No.70, Yanku W. St.(opposite) 
 桃智路廣豐三街口, 32, 13, 24.964802, 121.295471, 19, 1, 2300, 桃園區, 20200817231719, 桃智路31號前外側人行道及路側, Taoyuan Dist., Taozhi Rd. & Guangfeng 3rd St. Intersection, No.31, Taozhi Rd. 
 迴龍商場, 28, 13, 25.018473, 121.406675, 14, 1, 2301, 龜山區, 20200817231743, 萬壽路一段122號前人行道, Guishan Dist., Huilong Shopping Center, No.122, Sec. 1, Wanshou Rd. 
 普忠榮民南路口, 32, 12, 24.949502, 121.256339, 20, 1, 2302, 中壢區, 20200817231733, 普忠路1168號前人行道, Zhongli Dist., Puzhong & Rongmin S. Rd. Intersection, Puzhong Rd./Rongmin S. Rd. 
 龍岡停車場, 36, 12, 24.930088, 121.253064, 24, 1, 2303, 中壢區, 20200817231726, 龍東路202號機車停車場, Zhongli Dist., Longgang Parking Lot, No.202, Longdong Rd. 
 平鎮市廿公園, 40, 25, 24.942799, 121.218962, 14, 1, 2304, 平鎮區, 20200817231729, 德育路二段104號對向人行道上, Pingzhen Dist., Pingzhen No.20 Park, No.104, Sec. 2, Deyu Rd.(opposite) 
 復興路大同路200巷口, 44, 16, 24.989177, 121.306037, 28, 1, 2305, 桃園區, 20200817231723, 復興路293號旁停車場, Taoyuan Dist., Fuxing Rd. & Ln. 200 Datong Rd., No.293, Fusing Rd. 
 中正光明路口, 32, 18, 24.860621, 121.218056, 12, 1, 2306, 龍潭區, 20200817231739, 中正路339號對側高架橋下, Longtan Dist., Zhongzheng Rd. & Guangming Rd. Intersection, No.339, Jhongjheng Rd.(opposite) 
 大安果樹公園, 32, 14, 24.950006, 121.318555, 17, 1, 2307, 八德區, 20200817231735, 建安街長安街口公園廣場, Bade Dist., Da-an Guoshu Park , Jian’an St./ Chang’an St. 
 中山路裕和街口, 34, 10, 24.980741, 121.274497, 22, 1, 2308, 桃園區, 20200817231726, 中山路1306號旁人行道, Taoyuan Dist., Zhongshan Rd. & Yuhe St. Intersection, No.1306, Zhongshan Rd. 
 莒光公園 (環中東路), 34, 13, 24.948936, 121.235966, 20, 1, 2309, 中壢區, 20200817231721, 環中東路二段288號前人行道, Zhongli Dist., Juguang Park (Huanzhong E. Rd.), No.288, Sec. 2, Huanjhong E. Rd. 
 環中東實踐路口, 40, 26, 24.953682, 121.243344, 13, 1, 2310, 中壢區, 20200817231736, 環中東路776號前人行道, Zhongli Dist., Huanzhong E. & Shijian Rd. Intersection, No.776, Huanjhong E. Rd. 
 新南路一段榮興路口, 44, 19, 25.041056, 121.29587, 23, 1, 2311, 蘆竹區, 20200817231730, 新南路一段榮興路口旁人行道, Luzhu Dist., Sec. 1, Sinnan Rd.& Rongsing Rd. Intersection, Sec. 1, Xinnan Rd./Rongxing Rd. 
 瑞泰公園, 32, 9, 24.941473, 121.298571, 21, 1, 2312, 八德區, 20200817231738, 介壽路2段583巷16弄12號對面空地, Bade Dist., Ruitai Park, No.12, Aly. 16, Ln. 583, Sec. 2, Jieshou Rd.(opposite) 
 觀音中興停車場, 32, 17, 25.038199, 121.080987, 15, 1, 2313, 觀音區, 20200817231717, 中興路與玉林路口, Guanyin Dist., Guanyin Zhongxing Parking Lot, Zhongxing Rd./Yulin Rd. 
 觀音國小, 32, 9, 25.03451, 121.083586, 23, 1, 2314, 觀音區, 20200817231743, 文化路61號對面人行道, Guanyin Dist., Guan-Yin Elementary School, No.61, Wenhua Rd.(opposite) 
 中路兒2公園, 30, 12, 25.007402, 121.290432, 18, 1, 2315, 桃園區, 20200817231743, 永安路765巷8號對面公園, Taoyuan Dist., Zhonglu Second Children's Park, No.8, Ln. 765, Yong’an Rd.(opposite) 
 平鎮國民運動中心, 62, 14, 24.913957, 121.209701, 47, 1, 2316, 平鎮區, 20200817231720, 興安路20號對面空地, Pingzhen Dist., Pingzhen Civil Sports Center, No.20, Xing’an Rd.(opposite) 
 新明國中, 38, 18, 24.956212, 121.21231, 20, 1, 2317, 中壢區, 20200817231719, 民族路109號對面人行道, Zhongli Dist., Hsin Ming Junior High School, No.109, Minzu Rd.(opposite) 
 中華路一段文化二路口, 50, 7, 24.970929, 121.253549, 43, 1, 2318, 中壢區, 20200817231722, 中華路一段480號前方人行道, Zhongli Dist., Sec. 1, Zhonghua Rd. & Wenhua 2nd Rd. Intersection, No.480, Sec. 1, Zhonghua Rd.(opposite) 
 春日路民富九街口, 34, 15, 25.007974, 121.311688, 18, 1, 2319, 桃園區, 20200817231728, 春日路618號前方人行道, Taoyuan Dist., Chunri Rd. & Minfu 9th St. Intersection, No.168, Chunri Rd. 
 光明國中, 38, 13, 25.044194, 121.290175, 25, 1, 2320, 蘆竹區, 20200817231734, 洛陽街139號之1對面人行道, Luzhu Dist., Guang Ming Junior High School, No.139-1, Luoyang St.(opposite) 
 過嶺廣場, 32, 7, 24.96035, 121.164511, 25, 1, 2321, 中壢區, 20200817231721, 松勤路13號對面公園, Zhongli Dist., Guoling Square, No.13, Songqin Rd(opposite) 
 藝文一街大興西路口, 50, 10, 25.013286, 121.301557, 40, 1, 2322, 桃園區, 20200817231732, 藝文一街6號對面廣場, Taoyuan Dist., Yiwen 1st St. & Daxing W. Rd. Intersection, No.6, Yiwen 1st St.(opposite) 
 中正莊敬路口, 32, 24, 25.023593, 121.294916, 7, 1, 2323, 桃園區, 20200817231722, 中正路1379號前方人行道, Taoyuan Dist., Jhongjheng Rd. & Zhuangjing Rd. Intersection, No.1379, Jhongjheng Rd. 
 桃園市立圖書館東勢分館, 30, 4, 24.9105, 121.231206, 25, 1, 2324, 平鎮區, 20200817231721, 金陵路五段55號前方空地, Pingzhen Dist., Taoyuan City Library Dongshi Branch, No.55, Sec. 5, Jinling Rd. 
 光榮光峰路口, 30, 5, 25.006866, 121.343263, 25, 1, 2325, 龜山區, 20200817231725, 光峰路299號旁公園, Guishan Dist., Guangrong Rd.& Guangfeng Rd.Intersection, No.299, Guangfeng Rd. 
 南門公園, 42, 21, 24.991347, 121.306248, 19, 1, 2326, 桃園區, 20200817231737, 文化街64號對面公園, Taoyuan Dist., Nanmen Park, No.64, Wunhua St.(opposite) 
 平鎮平興國中, 44, 17, 24.950435, 121.205398, 27, 1, 2327, 平鎮區, 20200817231720, 育達路二段102號對面人行道, Pingzhen Dist., Pingzhen Ping Hsing Junior High School, No.102, Sec. 2, Yuda Rd.(opposite) 
 八德埤塘自然生態公園, 32, 8, 24.941091, 121.310887, 24, 1, 2328, 八德區, 20200817231740, 榮興段1483地號公園人行道, Bade Dist., Bade Pond Ecological Park, No.1483 of Rongxing Section 
 龜山長樂公園, 40, 31, 25.056873, 121.383066, 9, 1, 2329, 龜山區, 20200817231736, 長庚路169號對面公園, Guishan Dist., Guishan Changle Park, No.169, Changgeng Rd.(opposite) 
 頭重溪公園, 32, 15, 24.911118, 121.171616, 17, 1, 2330, 楊梅區, 20200817231729, 三元街99號對面公園綠地, Yangmei Dist., Toujhongsi Park, No.99, Sanyuan St.(opposite) 
 觀音區棒壘球場, 32, 17, 25.044671, 121.138213, 13, 1, 2331, 觀音區, 20200817231716, 福興街147之1號對面停車場, Guanyin Dist., Baseball and Softball Field of Guanyin Dist., No147-1, Fuxing Street, Guanyin District 
 中壢公15公園, 32, 14, 25.000532, 121.207897, 18, 1, 2332, 中壢區, 20200817231726, 領航南路一段218號對面公園, Zhongli Dist., Zhongli Public 15th Park, No.218, Sec. 1, Linghang S. Rd.(opposite) 
 介壽公園, 34, 12, 24.979016, 121.306013, 22, 1, 2333, 桃園區, 20200817231723, 介壽段16地號公園, Taoyuan Dist., Jieshou Park, No.16 of Jieshou Section 
 桃園高中, 62, 20, 24.997204, 121.324855, 41, 1, 2334, 桃園區, 20200817231741, 成功路三段8號旁邊空地, Taoyuan Dist., Taoyuan Senior High School, No.8, Sec. 3, Chenggong Rd. 
 新街國小, 40, 26, 24.964378, 121.228734, 14, 1, 2335, 中壢區, 20200817231719, 環北路564號旁步道, Zhongli Dist., Shin Jie Elementary School, No.564, Huanbei Rd. 
 福州橋, 34, 16, 24.968299, 121.234777, 16, 1, 2336, 中壢區, 20200817231729, 福州二街513號對面步道, Zhongli Dist., Fuzhou Bridge, No.513, Fujhou 2nd St.(opposite) 
 陽明運動公園(建新街), 36, 13, 24.980992, 121.311016, 22, 1, 2337, 桃園區, 20200817231734, 建新街163號對面公園籃球場旁, Taoyuan Dist., Yangming Sports Park(Jianxin St.), No.163, Jiansin St.(opposite) 
 南美國小, 34, 5, 25.048012, 121.296449, 29, 1, 2338, 龜山區, 20200817231721, 南上路南美街口東北側人行道, Guishan Dist., Nan Mei Elementary School, Nanshang Rd./Nanmei St. 
 貿商社區, 34, 14, 24.990411, 121.334721, 20, 1, 2339, 龜山區, 20200817231723, 自強南路自強南路301巷口, Guishan Dist., Maoshang Community, Zihciang S. Rd./Ln.301 Zihciang S. Rd. 
 平鎮棒球場, 34, 16, 24.946102, 121.219066, 18, 1, 2340, 平鎮區, 20200817231730, 德育路240號旁人行道, Pingzhen Dist., Baseball Field of Pingzhen Dist., No.240, Deyu Rd. 
 大溪永昌宮, 32, 7, 24.904152, 121.26523, 25, 1, 2341, 大溪區, 20200817231740, 仁和路二段190巷27號前方廣場, Daxi Dist., Daxi YongChang Temple, No.27, Ln. 190, Sec. 2, Renhe Rd. 
 台茂購物中心, 40, 17, 25.05246, 121.28779, 22, 1, 2342, 蘆竹區, 20200817231721, 南崁路一段112號前方人行道, Luzhu Dist., Tai Mall Shopping Center, No.112, Sec. 1, Nankan Rd. 
 高鐵桃園站(3號出口), 48, 18, 25.012423, 121.215221, 27, 1, 2343, 中壢區, 20200817231719, 高鐵北路一段6號前人行道, Zhongli Dist., HSR Taoyuan Station (Exit.3), HSR Taoyuan Station (Exit.3) 
 環南金陵路口, 32, 15, 24.940731, 121.222884, 17, 1, 2344, 平鎮區, 20200817231730, 環南路三段243號前方人行道, Pingzhen Dist., @Huannan Rd. & Jinling Rd. Intersection, No.243, Sec. 3, Huannan Rd. 
 文青一文青二路口, 32, 19, 25.039422, 121.3914, 13, 1, 2345, 龜山區, 20200817231742, 文青路文青一路口東北側人行道, Guishan Dist., Wenqing 1st Rd. & Wenqing 2nd Rd.Intersection, Wenqing 1st Rd./Wenqing 2st Rd. 
 三元公園, 32, 13, 24.882799, 121.266547, 19, 1, 2346, 大溪區, 20200817231744, 員林路二段450號對面公園, Daxi Dist., Sanyuan Park , No.450, Sec. 2, Yuanlin Rd.(opposite) 
 同安親子公園, 34, 8, 25.017355, 121.302291, 26, 1, 2347, 桃園區, 20200817231720, 同安街358號對面公園, Taoyuan Dist., Tong An Parent-child Park, No.358, Tong’an St.(opposite) 
 老街溪環河步道(環北路), 32, 4, 24.9661, 121.219325, 26, 1, 2348, 中壢區, 20200817231743, 環北路92號旁公園, Zhongli Dist., Laojiexi Huanhe Trail (Huanbei Rd.), No.92, Huanbei Rd. 
 八德區公所, 34, 19, 24.929308, 121.284555, 12, 1, 2349, 八德區, 20200817231726, 中山路40號對面人行道, Bade Dist., Civil Affairs District of Bade District, No.40, Zhongshan Rd.(opposite) 
 埔心停車場, 32, 9, 24.912472, 121.185342, 23, 1, 2350, 楊梅區, 20200817231735, 金龍三路95號前停車場, Yangmei Dist., Puxin Parking Lot, No.95, Jinlong 3rd Rd. 
 廣豐新天地, 40, 2, 24.964385, 121.299811, 36, 1, 2351, 八德區, 20200817231731, 大智路17號對面廣場, Bade Dist., Kwong Fong Plaza, No.17, Dazhi Rd.(opposite) 
 中信公園, 32, 11, 24.990791, 121.286262, 20, 1, 2352, 桃園區, 20200817231726, 德華街92號對面路側, Taoyuan Dist., Zhong Xin Park, No.92, Dehua St.(opposite) 
 桃園建國國小, 46, 34, 24.983616, 121.31578, 11, 1, 2353, 桃園區, 20200817231731, 昆明路120號對面人行道, Taoyuan Dist., Taoyuan Jian-Guo Elementary School, No.120, Kunming Rd.(opposite) 
 高城公園, 30, 15, 24.979318, 121.274198, 15, 1, 2354, 八德區, 20200817231738, 高城六街48巷9號旁公園, Bade Dist., Gaocheng Park, No.9, Ln. 48, Gaocheng 6th St. 
 桃園市立田徑場, 50, 19, 24.99277, 121.32457, 29, 1, 2355, 龜山區, 20200817231732, 萬壽路二段1379號對面人行道, Guishan Dist., Taoyuan Municipal Stadium, No.1379, Sec. 2, Wanshou Rd.(opposite) 
 忠孝黃昏市場, 36, 9, 24.982262, 121.25297, 26, 1, 2356, 中壢區, 20200817231744, 吉利七街65號旁綠地, Zhongli Dist., Zhongxiao Dusk Market, No.65, Jili 7th St. 
 廣明停車場, 40, 15, 24.954579, 121.214063, 24, 1, 2357, 中壢區, 20200817231729, 廣明路78號旁停車場, Zhongli Dist., Guangming Parking Lot, No.78, Guangming Rd. 
 高鐵北青昇二街口, 32, 9, 25.018035, 121.220334, 23, 1, 2358, 中壢區, 20200817231725, 高鐵北路二段96號旁公園, Zhongli Dist., Gaotie N. Rd. & Qingsheng 2nd St. Intersection, No.96, Sec. 2, Gaotie N. Rd. 
 文化二華亞二路口, 32, 14, 25.047446, 121.37482, 18, 1, 2359, 龜山區, 20200817231732, 文化二路200號前人行道, Guishan Dist., Wenhua 2nd Rd. & Huaya 2nd Rd. Intersection, No.200, Wunhua 2nd Rd. 
 下埔子溪綠地(天祥七街), 40, 17, 25.023509, 121.300758, 22, 1, 2360, 桃園區, 20200817231732, 天祥七街72號旁公園, Taoyuan Dist., Green space of Xiapuzi river(Tiansiang 7th St.), No.72, Tiansiang 7th St. 
 遠雄自貿港區加值園區, 32, 10, 25.093612, 121.255208, 22, 1, 2361, 大園區, 20200817231738, 航翔路5號前方廣場, Dayuan Dist., Farglory Free Trade Zone Value-Added Park, No.5, Hangsiang Rd. 
 仁愛兒童公園, 36, 19, 24.985429, 121.291219, 16, 1, 2362, 桃園區, 20200817231737, 宏昌九街17號對面公園, Taoyuan Dist., Renai Children's Park, No.17, Hongchang 9th St.(opposite) 
 竹風青庭, 30, 19, 25.006039, 121.20138, 10, 1, 2363, 中壢區, 20200817231742, 領航北路一段296號前方人行道, Zhongli Dist., TrueFull QingTing, No.296, Sec. 1, Linghang N. Rd. 
 合遠新天地, 60, 38, 25.047496, 121.378891, 22, 1, 2364, 龜山區, 20200817231733, 華亞三路50號旁綠帶, Guishan Dist., Happy Town Dream Home, No.50, Huaya 3rd Rd. 
 青埔公10公園, 40, 11, 25.014404, 121.20756, 27, 1, 2365, 中壢區, 20200817231718, 青溪段233地號上人行道, Zhongli Dist., Qingpu Public 10th  Park, No.233 of Cingsi Section 
 昭揚建築(水秀公園), 32, 13, 24.99845, 121.291143, 19, 1, 2366, 桃園區, 20200817231735, 力行路688巷11號旁公園, Taoyuan Dist., Sound Rise Construction (Shueisiou Park), No.11, Ln. 688, Lising Rd. 
 玖都機構, 32, 18, 25.004995, 121.208652, 14, 1, 2368, 中壢區, 20200817231724, 公園路一段文發路口(土地公廟前), Zhongli Dist., Jiudu Institution, Sec. 1, Gongyuan Rd. & Wenfa Rd. Intersection 
 中科院一號門, 60, 13, 24.847931, 121.24607, 45, 1, 2371, 龍潭區, 20200817231741, 中科段 1124地號空地, Longtan Dist., NCSIST Gate 1, No.1124 of Jhongke Section 
 中科院五號門, 60, 10, 24.867174, 121.256142, 49, 1, 2372, 大溪區, 20200817231732, 石園路615號前方空地, Daxi Dist., NCSIST Gate 5, No.615, Shihyuan Rd.(opposite) 
 中科院石園三村, 40, 11, 24.870971, 121.23472, 24, 1, 2373, 龍潭區, 20200817231722, 武漢路100號對面停車格, Longtan Dist., NCSIST Shihyuan 3rd village, No.100, Wuhan Rd.(opposite) 
 中科院石園一村, 60, 18, 24.836824, 121.241561, 40, 1, 2374, 龍潭區, 20200817231726, 佳安段712地號, Longtan Dist., NCSIST Shihyuan 1st village, No.712 of Jia’an Section 
 中科院石園二村, 40, 15, 24.831178, 121.237482, 25, 1, 2375, 龍潭區, 20200817231736, 八德路1號旁停車場, Longtan Dist., NCSIST Shihyuan 2nd village, No.1, Bade Rd. 
 三坑自然生態公園, 32, 12, 24.838888, 121.25862, 17, 1, 2376, 龍潭區, 20200817231723, 永福段1148地號, Longtan Dist., Sankern Natural and Ecological Park, No.1148 of Yongfu Section 
 

