"addr","lat","long"
"桃園市蘆竹區大福路211號","25.020909","121.258456"
"桃園市大園區華興段1111號","25.06384279","121.19558068"
"桃園市蘆竹區中山路151號","25.056825","121.297543"
"桃園市蘆竹區海山段331號","25.04693352","121.29508445"
"桃園市大園區貨運段61號","25.06384279","121.19558068"
"桃園市大園區埔心段埔心小段1501號","25.06384279","121.19558068"
"桃園市蘆竹區八股段601號","25.04693352","121.29508445"
"桃園市八德區大忠街31號","24.960421","121.300475"
"桃園市八德區大忠街31號","24.960421","121.300475"
"桃園市八德區長興路360巷64弄1號","24.933836","121.277237"
"桃園市八德區天祥街102巷1號","24.973445","121.301563"
"桃園市八德區仁德一路1號","24.936098","121.285366"
"桃園市平鎮區中豐路510巷61號","24.93592642","121.21469963"
"桃園市平鎮區文化街8巷1號","24.956444","121.202719"
"桃園市平鎮區興華街101巷12弄1號","24.94502","121.201716"
"桃園市龜山區民生北路一段31號","25.031449","121.303394"
"桃園市龜山區民生北路一段31號","25.03142","121.3034"
"桃園市蘆竹區錦明段841號","25.04693352","121.29508445"
"桃園市蘆竹區順利一街1號","25.085727","121.290557"
"桃園市龜山區萬壽路二段1141號","24.993447","121.333061"
"桃園市桃園區三民路二段181號","24.99974","121.310498"
"桃園市桃園區金門二街241號","24.981404","121.313402"
"桃園市桃園區國豐十街241號","24.991289","121.274779"
"桃園市桃園區民族路181號","24.993623","121.308191"
"桃園市桃園區民族路181號","24.993623","121.308191"
"桃園市桃園區民安路25巷1號","24.998831","121.300386"
"桃園市桃園區文中一路241號","24.995942","121.293638"
"桃園市桃園區三民段31號","24.99387997","121.30190407"
"桃園市桃園區保定三街89巷61號","24.99659042","121.29822263"
"桃園市桃園區樹仁三街131巷26弄31號","24.973807","121.32048"
"桃園市桃園區中華路31號","24.990925","121.311169"
"桃園市桃園區同德十一街37巷1號","25.020695","121.297688"
"桃園市桃園區會稽一街82巷1號","25.014149","121.315072"
"桃園市桃園區中正五街181號","25.005259","121.301495"
"桃園市桃園區民有東路1巷1號","25.015071","121.319341"
"桃園市桃園區敬二街1號","25.02194","121.29343"
"桃園市桃園區金門四街42﹐31號","24.982076","121.313801"
"桃園市桃園區寶慶路481號","25.017859","121.290584"
"桃園市桃園區國際段331號","24.99387997","121.30190407"
"桃園市桃園區慈文路322巷1號","25.005354","121.300039"
"桃園市桃園區長春路31號","25.000652","121.305566"
"桃園市桃園區秀山路56巷2弄1號","24.989551","121.302311"
"桃園市桃園區大有路751號","25.016439","121.316506"
"桃園市桃園區中興街1號","24.996752","121.313517"
"桃園市桃園區大連二街91號","25.00785142","121.30571463"
"桃園市桃園區興一街46巷1號","25.015531","121.314307"
"桃園市桃園區國強一街181號","24.992319","121.284061"
