,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,address,longitude,latitude,floor
0,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,addr,lat,long,floor
318,觀音區,土地,廣興段1141~1170地號,531.14,,一般農業區,甲種建築用地,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14459400,27223,,0.0,0,,RPUOMLKLQHPFFBH66EA,0.0,0.0,0.0,無,桃園市觀音區廣興段1141號,25.03653798,121.08201878,
319,中壢區,房地(土地+建物),福嶺路95巷66弄1~30號,133.61,,特定農業區,甲種建築用地,1090805,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060615,298.04,5,3,6,有,有,15900000,53349,,0.0,0,,RPTPMLKLQHPFFBH66EA,273.73,7.63,16.13,有,桃園市中壢區福嶺路95巷66弄1號,24.966795,121.173171,4
320,觀音區,土地,草漯段481~510地號,3554.0,其他,,,1090811,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47303000,13310,,0.0,0,,RPOTMLKLQHPFFBH56EA,0.0,0.0,0.0,無,桃園市觀音區草漯段481號,25.03653798,121.08201878,
321,中壢區,房地(土地+建物)+車位,聖德路二段361~390號,33.38,,特定農業區,甲種建築用地,1090801,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041007,161.89999999999998,3,2,2,有,有,8200000,49329,坡道平面,21.01,1250000,,RPOOMLLLQHPFFBH78EA,82.81,2.95,10.04,有,桃園市中壢區聖德路二段361號,25.025242,121.194776,13
322,中壢區,土地,興南段中壢老小段211~240地號,7.9,其他,,,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,65823,,0.0,0,包含公共設施保留地用地;,RPTQMLLLQHPFFBH86EA,0.0,0.0,0.0,無,桃園市中壢區興南段中壢老小段211號,24.96563047,121.22513412,
323,觀音區,房地(土地+建物),中山路一段739巷31~60號,66.97,,一般農業區,甲種建築用地,1090706,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090122,217.04,6,2,4,有,有,10500000,48378,,0.0,0,,RPUSMLTKQHPFFBH87EA,170.95,5.73,25.57,無,桃園市觀音區中山路一段739巷31號,25.03231342,121.09976663,4
324,龜山區,房地(土地+建物)+車位,光明街248巷65弄1~30號,38.01,其他,,,1090730,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0871127,102.03999999999999,5,2,3,有,有,1492286,14625,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWNMLSKQHPFFHH97DA,75.58,0.0,4.56,無,桃園市龜山區光明街248巷65弄1號,25.012901,121.34288,4
325,龜山區,房地(土地+建物),樂宮街1~30號,42.0,其他,,,1090603,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570616,80.52,4,1,2,有,無,5000000,62096,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXNMLSKQHPFFHH08DA,80.52,0.0,0.0,無,桃園市龜山區樂宮街1號,24.993387,121.335226,2
326,龜山區,房地(土地+建物)+車位,長壽路269巷1~30號,26.54,其他,,,1090723,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030530,194.32,3,2,2,有,有,9800000,50432,坡道平面,46.89,0,,RPUOMLNKQHPFFHH37DA,82.31,4.7,13.16,有,桃園市龜山區長壽路269巷1號,24.999188,121.339477,14
327,龜山區,房地(土地+建物),光路千禧新城1~30號,30.12,其他,,,1090628,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920821,170.94,3,2,2,有,有,6750000,39488,,0.0,0,,RPUNMLLMPHPFFHH17DA,101.2,0.0,13.57,有,桃園市龜山區光路千禧新城1號,24.99267322,121.3377571,14
328,龜山區,土地,體大段31~60地號,22.05,其他,,,1090622,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,347500,15760,,0.0,0,,RPSNMLNJQHPFFHH96DA,0.0,0.0,0.0,無,桃園市龜山區體大段31號,24.99267322,121.3377571,
329,龜山區,房地(土地+建物),長壽路211~240號,24.36,其他,,,1090729,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920821,136.25,3,2,2,有,有,6180000,45358,,0.0,0,,RPPNMLOJQHPFFHH76DA,81.99,0.0,10.25,有,桃園市龜山區長壽路211號,24.999928,121.340288,14
330,平鎮區,房地(土地+建物),中豐路南勢二段90巷1~30號,66.28,其他,,,1090722,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0830415,179.91,3,2,3,有,無,7880000,43800,,0.0,0,,RPWNMLTKQHPFFGH97DA,144.44,11.4,6.6,無,桃園市平鎮區中豐路南勢二段90巷1號,24.917747,121.210582,2
331,平鎮區,房地(土地+建物)+車位,南平路121~150號,28.25,其他,,,1090804,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030711,187.93,4,2,2,有,有,8240000,43846,坡道平面,30.21,0,,RPXNMLTKQHPFFGH08DA,96.5,2.97,9.59,有,桃園市平鎮區南平路121號,24.919319,121.207981,13
