鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
台東市,建物,正氣路31~60號,0.0,,,,1090704,土地0建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0660816,106.0,3,2,3,有,無,500000,4717,,0.0,0,其他增建;,RPXOMLKMPHPFFAV18DA,106.0,0.0,0.0,無
台東市,房地(土地+建物),新生路1~30號,122.0,其他,,,1090727,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0830122,181.1,2,1,2,有,無,13000000,71784,,0.0,0,,RPOOMLMKQHPFFAV37DA,177.0,4.1,0.0,無
台東市,房地(土地+建物),新興路1巷61弄31~60號,112.06,其他,,,1090813,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050407,245.64,6,2,6,有,無,11500000,46816,,0.0,0,,RPQNMLOKQHPFFAV67DA,223.39,22.25,0.0,無
台東市,房地(土地+建物),漢中街211~240號,101.0,,,,1090720,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0990727,226.89,4,1,4,有,無,13800000,60822,,0.0,0,,RPVNMLMLPHPFFAV97DA,191.47,35.42,0.0,無
台東市,房地(土地+建物),中興路三段275巷35弄1~30號,104.02,,,,1080324,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090609,206.13,5,2,5,有,無,9500000,46087,,0.0,0,,RPWNMLKMPHPFFAV97DA,197.24,8.89,0.0,無
台東市,房地(土地+建物),文心街1~30號,26.7,其他,,,1090727,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840217,143.01999999999998,3,2,2,有,有,4550000,31814,,0.0,0,,RPUOMLKLQHPFFAV87DA,96.64,1.79,11.15,有
台東市,房地(土地+建物),興安路二段271~300號,133.09,其他,,,1090720,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700818,138.93,3,2,2,有,無,4900000,35270,,0.0,0,頂樓加蓋;,RPPNMLOLQHPFFAV67DA,135.4,3.53,0.0,無
卑南鄉,房地(土地+建物),太平路412巷1~30號,179.0,,鄉村區,乙種建築用地,1090724,土地1建物1車位0,全,一層,透天厝,見其他登記事項,見其他登記事項,0630101,86.98,4,2,1,有,無,4200000,48287,,0.0,0,,RPRNMLOLQHPFFAV87DA,86.98,0.0,0.0,無
台東市,房地(土地+建物),長安街199巷1~30號,71.0,其他,,,1090728,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0660404,86.9,3,2,2,有,無,5000000,57537,,0.0,0,其他增建;,RPUNMLOLQHPFFAV18DA,86.9,0.0,0.0,無
台東市,房地(土地+建物),安和路102巷1~30號,128.03,其他,,,1090801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990930,221.98,4,2,5,有,無,10200000,45950,,0.0,0,,RPSNMLLLQHPFFAV67DA,205.63,16.35,0.0,無
成功鎮,土地,新八邊段211~240地號,2229.07,,風景區,農牧用地,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,224,,0.0,0,,RPPNMLPJQHPFFBV67DA,0.0,0.0,0.0,無
卑南鄉,土地,班鳩段481~510地號,10910.86,,山坡地保育區,農牧用地,1090810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,247,,0.0,0,,RPUNMLMKQHPFFAV87DA,0.0,0.0,0.0,無
關山鎮,房地(土地+建物),信義路1~30號,79.69,其他,,,1090812,土地1建物1車位0,全,二層,透天厝,住商用,見其他登記事項,,104.42,3,2,2,有,無,5200000,49799,,0.0,0,未登記建物;,RPQNMLPLQHPFFCV08DA,104.42,0.0,0.0,無
池上鄉,土地,慶福段931~960地號,124.24,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,28171,,0.0,0,,RPPNMLRLQHPFFCV18DA,0.0,0.0,0.0,無
太麻里鄉,土地,北橋段901~930地號,608.5,住,,,1090818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,72770000,119589,,0.0,0,,RPRNMLOLQHPFFDV18DA,0.0,0.0,0.0,無
太麻里鄉,建物,太峰路121~150號,0.0,,,,1090818,土地0建物1車位0,一層，二層，三層，四層，五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1021025,1098.62,23,1,23,有,無,13230000,12042,,0.0,0,,SPRNMLOLQHPFFDV28DA,1098.62,0.0,0.0,有
太麻里鄉,土地,北橋段871~900地號,1608.14,住,,,1090818,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,236200000,146878,,0.0,0,,TPRNMLOLQHPFFDV38DA,0.0,0.0,0.0,無
太麻里鄉,建物,太峰路121~150號,0.0,,,,1090818,土地0建物1車位0,一層，二層，三層，四層，五層，六層，地下一層，見其他登記事項,六層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1050601,4414.42,86,2,86,有,無,93800000,21249,,0.0,0,,UPRNMLOLQHPFFDV48DA,4196.62,217.8,0.0,有
東河鄉,土地,高原段1561~1590地號,12880.0,,森林區,農牧用地,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5975550,464,,0.0,0,,RPQNMLPLQHPFFBV97DA,0.0,0.0,0.0,無
