鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,18.87,其他,,,1070926,土地1建物1車位2,十二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,169.16,3,2,2,有,有,19700000,128418,坡道平面,48.46,4200000,,RPOWMLRKQHPFFBF17DA,75.26,0.0,4.33,有
林口區,房地(土地+建物)+車位,三民路91~120號,28.12,其他,,,1081026,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090622,143.01999999999998,3,2,2,有,有,15530000,110401,升降機械,13.22,1200000,,RPOSMLOKQHPFFBF09DA,78.7,0.0,8.26,有
新莊區,土地,建國段241~270地號,496.0,其他,,,1090205,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,69018400,139150,,0.0,0,本筆交易日期為109年02月05日,RPRONLRKQHPFFBF76DA,0.0,0.0,0.0,無
新莊區,土地,建國段241~270地號,165.3,其他,,,1090205,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23000000,139141,,0.0,0,本筆交易日期為109年05月21日,SPRONLRKQHPFFBF86DA,0.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,文化三路二段331~360號,27.24,其他,,,1090709,土地1建物1車位2,十三層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030618,319.12,3,2,2,有,有,24200000,77468,坡道平面,45.46,3000000,,RPQTMLNKQHPFFBF66DA,160.78,10.18,21.19,有
新莊區,房地(土地+建物),幸福路61~90號,19.99,其他,,,1090714,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721210,91.8,4,2,3,有,無,8160000,88889,,0.0,0,頂樓加蓋;,RPQVMLSKQHPFFBF37DA,87.05,0.0,4.75,無
五股區,房地(土地+建物),蓬萊路2巷1~30號,17.47,其他,,,1090728,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831018,112.43,3,2,2,有,有,7600000,67598,,0.0,0,陽台外推;,RPSVMLSKQHPFFBF57DA,78.83,2.56,9.37,有
新莊區,房地(土地+建物)+車位,龍安路1~30號,14.01,其他,,,1090628,土地1建物1車位2,十八層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,188.45,3,2,2,有,無,19360000,565886,坡道平面,55.58,3900000,,RPSPMLTKQHPFFBF07DA,46.31,3.7,4.75,有
新莊區,房地(土地+建物)+車位,龍安路31~60號,14.01,其他,,,1090719,土地1建物1車位1,十八層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,188.45,3,2,2,有,無,18500000,103635,坡道平面,27.79,1850000,,RPUPMLTKQHPFFBF27DA,76.44,6.75,4.74,有
新莊區,房地(土地+建物),龍安路31~60號,13.79,其他,,,1090712,土地1建物1車位0,六層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,162.82999999999998,2,1,1,有,無,9680000,59449,,0.0,0,,RPVPMLTKQHPFFBF37DA,78.21,6.41,4.74,有
