編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMKQHPFFCD68DA,10,.04,見其他登記事項,鋼筋混凝土造,99年5月7日,十四層,一層
RPROMLMKQHPFFCD68DA,10,104.88,住家用,鋼筋混凝土造,99年5月7日,十四層,十二層
RPROMLMKQHPFFCD68DA,10,23.91,見其他登記事項,鋼筋混凝土造,99年5月7日,十四層,
RPROMLMKQHPFFCD68DA,10,43.70,見其他登記事項,鋼筋混凝土造,99年5月7日,十四層,
RPUOMLMKQHPFFCD98DA,26,102.80,共有部分,鋼筋混凝土造,83年7月23日,九層,
RPUOMLMKQHPFFCD98DA,26,171.45,住家用,鋼筋混凝土造,83年7月23日,九層,五層
RPTPMLNKQHPFFCD09DA,52,83.88,住家用,加強磚造,57年11月21日,二層,一層 二層
RPUOMLPJQHPFFCD56DA,4,427.74,見其他登記事項,鋼筋混凝土造,104年10月29日,二十六層,十五層
RPUOMLPJQHPFFCD56DA,4,189.49,見其他登記事項,鋼筋混凝土造,104年10月29日,二十六層,
RPUOMLPJQHPFFCD56DA,4,60.09,見其他登記事項,鋼筋混凝土造,104年10月29日,二十六層,
RPQOMLTKQHPFFBD56DA,5,332.85,見其他登記事項,鋼筋混凝土造,104年9月2日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLLLQHPFFBD48DA,16,223.42,見其他登記事項,鋼筋混凝土造,92年10月28日,四層,一層 二層 三層 四層 騎樓
RPRNMLTKQHPFFAD09DA,2,158.93,見其他登記事項,見其他登記事項,107年2月2日,二十三層,二十二層
RPRNMLTKQHPFFAD09DA,2,142.78,見其他登記事項,見其他登記事項,107年2月2日,二十三層,
RPRPMLSKQHPFFAD56DA,4,85.60,見其他登記事項,見其他登記事項,105年11月9日,二十七層,十五層
RPRPMLSKQHPFFAD56DA,4,73.37,見其他登記事項,見其他登記事項,105年11月9日,二十七層,
RPOOMLTKQHPFFAD88DA,1,125.16,見其他登記事項,見其他登記事項,108年3月7日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLTKQHPFFAD88DA,1,125.16,見其他登記事項,見其他登記事項,108年3月7日,四層,一層 二層 三層 四層 屋頂突出物
RPUPMLOLPHPFFCD66DA,23,29.69,共有部分,鋼筋混凝土造,86年11月15日,十四層,
RPUPMLOLPHPFFCD66DA,23,7.52,共有部分,鋼筋混凝土造,86年11月15日,十四層,
RPUPMLOLPHPFFCD66DA,23,26.00,共有部分,鋼筋混凝土造,86年11月15日,十四層,
RPUPMLOLPHPFFCD66DA,23,.24,見其他登記事項,鋼筋混凝土造,86年11月15日,十四層,地下一層
RPUPMLOLPHPFFCD66DA,23,124.42,住家用,鋼筋混凝土造,86年11月15日,十四層,十一層
