編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLTKQHPFFAI27DA,1,189.09,見其他登記事項,見其他登記事項,108年7月16日,三層,一層 二層 三層 見其他登記事項
RPSOMLKLQHPFFAI98DA,45,60.90,住家用,木造,64年9月4日,二層,一層 二層
RPUNMLMKQHPFFAI56DA,30,644.34,見其他登記事項,鋼筋混凝土加強磚造,79年1月15日,二層,一層 二層 地下層
RPPPMLMKQHPFFAI88DA,1,211.73,見其他登記事項,見其他登記事項,108年12月25日,四層,一層 二層 三層 四層
RPPOMLLLQHPFFAI78DA,30,202.40,住商用,鋼筋混凝土造,79年10月2日,五層,一層 二層 三層 四層 五層
RPRNMLLKQHPFFAI78DA,26,87.96,住家用,鋼筋混凝土造,83年12月23日,九層,五層
RPRNMLLKQHPFFAI78DA,26,27.42,共有部份,鋼筋混凝土造,83年12月23日,九層,
RPRNMLLKQHPFFAI78DA,26,19.62,共有部份,鋼筋混凝土造,83年12月23日,九層,
RPOOMLLLQHPFFAI68DA,43,4.72,住家用,鋼筋混凝土加強磚造,66年9月20日,二層,一層 二層
RPOOMLLLQHPFFAI68DA,43,4.77,住家用,鋼筋混凝土加強磚造,66年9月20日,二層,一層 二層
RPOOMLLLQHPFFAI68DA,44,4.77,住家用,鋼筋混凝土加強磚造,65年9月20日,二層,一層 二層
RPUNMLLLQHPFFAI56DA,22,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,十六層
RPUNMLLLQHPFFAI56DA,22,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUNMLLLQHPFFAI56DA,22,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUNMLLLQHPFFAI56DA,22,15.51,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUNMLLLQHPFFAI56DA,22,15.00,見其他登記事項,鋼筋混凝土造,87年3月19日,二十二層,地下一層 地下二層
RPVNMLLLQHPFFAI66DA,27,104.08,住家用,鋼筋混凝土造,82年2月17日,七層,六層
RPVNMLLLQHPFFAI66DA,27,16.71,共有部份,鋼筋混凝土造,82年2月17日,七層,
RPVNMLLLQHPFFAI66DA,27,23.32,共有部份,鋼筋混凝土造,82年2月17日,七層,
RPVNMLKLQHPFFAI56DA,45,11.94,住家用,木造,64年1月13日,一層,一層
RPSNMLLLQHPFFAI98DA,49,90.12,住家用,鋼筋混凝土加強磚造,60年12月3日,二層,一層 二層 騎樓
RPPNMLLLQHPFFAI68DA,,326.23,見其他登記事項,見其他登記事項,109年2月17日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLLLQHPFFAI68DA,,.08,見其他登記事項,見其他登記事項,109年2月17日,一層,
RPPNMLOLQHPFFAI98DA,27,12.56,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPPNMLOLQHPFFAI98DA,27,19.29,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPPNMLOLQHPFFAI98DA,27,76.80,住家用,鋼筋混凝土造,82年6月9日,十六層,十四層
RPPOMLKLQHPFFAI68DA,31,104.67,住家用,鋼筋混凝土造,78年4月15日,七層,三層
RPPOMLKLQHPFFAI68DA,31,10.13,共有部份,鋼筋混凝土造,78年4月15日,七層,
RPPOMLKLQHPFFAI68DA,31,28.46,共有部份,鋼筋混凝土造,78年4月15日,七層,
RPTNMLMLQHPFFAI56DA,34,83.78,住家用,鋼筋混凝土造,75年4月23日,五層,四層
RPTNMLMLQHPFFAI56DA,34,14.58,共有部份,鋼筋混凝土造,75年4月23日,五層,
RPRNMLMLQHPFFAI98DA,21,136.27,住家用,鋼筋混凝土造,88年3月8日,二層,一層 二層
RPTNMLLKQHPFFAI98DA,,79.52,住商用,鋼筋混凝土加強磚造,69年10月16日,二層,一層 二層
RPSNMLPLQHPFFAI76DA,28,113.58,住商用,鋼筋混凝土造,81年5月13日,七層,一層 二層
