鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物),臺中市南區建成路1095巷1~30號,13.68,商,,,1090701,土地2建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870507,96.55,4,1,2,有,有,有,16000,166,,0.0,0,,RPXPMLOLPHPFFAB66CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段571~600號,29.11,住,,,1090721,土地1建物1車位3,五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991021,416.77,4,2,3,有,有,有,100000,240,坡道機械,0.0,0,起租日:109/08/01租金總額含稅。,RPPPMLOLPHPFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,7.04,商,,,1090720,土地1建物1車位0,十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,70.47,1,0,0,無,有,有,18000,255,,0.0,0,,RPSTMLOLPHPFFCB76CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,10.18,商,,,1090718,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,102.64999999999999,3,1,1,有,有,有,25000,244,坡道平面,0.0,0,,RPUTMLOLPHPFFCB96CC
西屯區,建物,臺中市西屯區至善路121巷1~30號,0.0,住,,,1090708,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,0821014,173.91,2,2,2,有,有,有,20000,115,,0.0,0,,RPPQMLRLPHPFFCB09CC
西屯區,房地(土地+建物)+車位,臺中市西屯區福科路511~540號,15.98,住,,,1090721,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821118,143.07999999999998,3,2,2,有,有,有,22700,158,坡道平面,15.0,2500,,RPSSMLRLPHPFFCB96CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,5.96,商,,,1090727,土地1建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,113.02000000000001,2,1,2,有,有,有,12000,106,,0.0,0,,RPQOMLRLPHPFFAB78CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.72,商,,,1090727,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.480000000000004,1,0,0,無,有,有,6500,228,,0.0,0,,RPROMLRLPHPFFAB88CC
西區,建物,臺中市西區美村路一段571~600號,0.0,住,,,1090708,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860104,95.44,2,2,1,有,有,有,15000,157,,0.0,0,含管理費、稅金或水電等費用。;,RPUPMLRLPHPFFAB66CC
西區,房地(土地+建物),臺中市西區精誠二十三街31~60號,101.0,住,,,1090720,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0710226,329.38,5,2,6,有,無,無,35000,106,,0.0,0,,RPXQMLRLPHPFFAB07CC
大雅區,房地(土地+建物),臺中市大雅區清陽路20巷1~30號,84.74,,特定農業區,甲種建築用地,1090722,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0970711,165.47,4,3,3,有,無,無,22000,133,,0.0,0,,RPPOMLRLPHPFFHB76CC
太平區,建物,臺中市太平區新福路91~120號,281.03,住,,,1090706,土地0建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070625,147.96,0,0,0,無,有,無,25000,169,,0.0,0,,RPXOMLSLPHPFFJB87CC
太平區,建物,臺中市太平區新福路91~120號,281.03,住,,,1090717,土地0建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070625,162.28,0,0,0,無,有,無,26000,160,,0.0,0,,RPOPMLSLPHPFFJB07CC
神岡區,房地(土地+建物),臺中市神岡區神清路91~120號,1178.23,農,,,1090721,土地1建物1車位0,一層,,工廠,,,,0.0,0,0,0,無,無,無,102168,,,0.0,0,地上未保存建物一層一棟,RPRNMLSLPHPFFDB56CC
烏日區,房地(土地+建物),臺中市烏日區榮泰街100巷1~30號,21.42,住,,,1090703,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0791117,111.2,3,2,2,有,有,無,13000,117,,0.0,0,,RPTOMLSLPHPFFIB37CC
西屯區,房地(土地+建物),臺中市西屯區順和二街1~30號,120.4,住,,,1090702,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1040121,308.68,5,3,6,有,無,有,36000,117,,0.0,0,,RPQQMLSLPHPFFCB76DC
南區,房地(土地+建物)+車位,臺中市南區東興路一段1~30號,5.84,商,,,1090728,土地1建物1車位1,十層,32,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950622,141.31,3,2,2,有,有,有,18000,119,坡道平面,15.35,0,,RPTNMLSLPHPFFAB09CC
南屯區,建物,臺中市南屯區大進街361~390號,0.0,住,,,1090708,土地0建物1車位2,見其他登記事項,7,店面(店鋪),住商用,鋼筋混凝土造,0800708,301.51,2,4,3,有,無,無,55000,182,,0.0,0,租金調漲：第六年起租金調整為58000元/月。車位面積無法分算。,RPROMLSLPHPFFCB56CC
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路211~240號,16.13,住,,,1090727,土地1建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113,126.21,3,2,2,有,有,有,20000,158,坡道機械,0.0,0,,RPTOMLSLPHPFFCB76CC
北屯區,房地(土地+建物),臺中市北屯區東山路一段192巷56弄1~30號,145.12,住,,,1090727,土地2建物2車位0,全,5,透天厝,住商用,鋼筋混凝土造,0831221,324.55,5,3,4,有,有,有,24000,74,,0.0,0,,RPQOMLSLPHPFFBB98CC
北區,房地(土地+建物),臺中市北區育才街6巷1~30號,222.0,住,,,1090630,土地7建物4車位0,全,5,透天厝,商業用,鋼筋混凝土造,0791211,388.99,0,0,0,無,無,有,438000,1126,,0.0,0,,RPQOMLTLPHPFFBB09CC
北區,建物,臺中市北區精武路511~540號,0.0,,,,1090720,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0910429,35.44,2,0,1,有,無,有,10000,282,,0.0,0,,RPWQMLTLPHPFFBB27CC
北屯區,建物,臺中市北屯區三光巷40弄1~30號,0.0,,,,1090723,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790921,17.63,1,0,1,有,無,有,5500,312,,0.0,0,,RPQRMLTLPHPFFBB76CC
北屯區,房地(土地+建物),臺中市北屯區昌平路一段31~60號,24.7,住,,,1090711,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720922,85.99,2,2,2,有,無,無,11000,128,,0.0,0,,RPRRMLTLPHPFFBB86CC
北屯區,房地(土地+建物),臺中市北屯區北屯路271~300號,3.72,住,,,1090709,土地1建物1車位0,十三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,39.03,1,0,1,有,有,有,7000,179,,0.0,0,,RPWUMLTLPHPFFBB67CC
北區,房地(土地+建物),臺中市北區尚德街91~120號,24.09,住,,,1090714,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661027,80.42,3,1,2,有,無,無,12500,155,,0.0,0,,RPRWMLTLPHPFFBB37CC
北屯區,房地(土地+建物)+車位,臺中市北屯區和福路121~150號,15.48,商,,,1090622,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031027,148.35,3,2,2,有,有,有,24000,165,坡道機械,8.99,1000,,RPTNNLTLPHPFFBB76CC
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十六路151~180號,14.89,住,,,1090715,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081122,93.53,2,1,1,有,有,無,19500,314,坡道平面,33.07,500,,RPUNNLTLPHPFFBB86CC
北屯區,房地(土地+建物),臺中市北屯區北屯路271~300號,5.41,住,,,1090720,土地1建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,53.3,2,1,1,有,有,有,12200,229,,0.0,0,,RPWONLTLPHPFFBB17CC
北區,房地(土地+建物),臺中市北區東光東街61~90號,4.84,住,,,1090625,土地1建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831214,76.53,2,2,1,有,有,有,12000,157,,0.0,0,,RPQQNLTLPHPFFBB76CC
北屯區,房地(土地+建物)+車位,臺中市北屯區臺中市北屯區太原路三段1321~1350號,16.29,住,,,1090729,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,99.09,0,0,0,無,有,有,18000,182,坡道平面,25.81,0,租賃範圍不含夾層，租金含管理費,RPRQNLTLPHPFFBB86CC
北屯區,房地(土地+建物),臺中市北屯區松義街151~180號,17.05,住,,,1090620,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860127,91.15,2,2,1,有,有,有,15000,165,,0.0,0,,RPVRNLTLPHPFFBB37CC
