鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
佳里區,土地,九龍段871~900地號,105.44,其他,,,1090716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,8536,,0.0,0,賣方應負擔之費用全部由買方負擔含土地增值稅代書費親友、員工、共有人或其他特殊關係間之交易;,RPVOMLPKPHPFFGD07DA,0.0,0.0,0.0,無
佳里區,房地(土地+建物),建南里12鄰建南街31~60號,83.0,住,,,1090729,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0700520,215.83,6,2,3,有,無,7200000,33360,,0.0,0,,RPXNMLOJQHPFFGD07DA,204.3,0.0,11.53,無
麻豆區,土地,埤頭段421~450地號,899.03,其他,,,1090816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9518460,10587,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPROMLKLQHPFFFD88DA,0.0,0.0,0.0,無
六甲區,房地(土地+建物),龜子港80巷12弄1~30號,108.67,,鄉村區,乙種建築用地,1090706,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070907,163.59,5,1,3,有,無,5900000,36066,,0.0,0,,RPWNMLKLQHPFFFD66DA,146.35,0.0,17.24,無
白河區,土地,糞箕湖段糞箕湖小段331~360地號,11144.5,,一般農業區,農牧用地,1090417,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36000000,3230,,0.0,0,,RPQNMLSLPHPFFED66DA,0.0,0.0,0.0,無
白河區,土地,玉豐段151~180地號,1974.0,,特定農業區,農牧用地,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1013,,0.0,0,,RPTNMLNJQHPFFED98DA,0.0,0.0,0.0,無
新營區,房地(土地+建物),信義街53巷1~30號,8.36,其他,,,1090812,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811229,35.24,1,0,1,有,無,900000,25539,,0.0,0,,RPQNMLOLQHPFFDD88DA,28.21,0.0,0.0,有
新營區,房地(土地+建物),民生里復興路620巷61~90號,16.36,其他,,,1090813,土地2建物2車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800530,72.52,1,1,1,有,無,1140000,15720,,0.0,0,,RPWNMLKLQHPFFDD09DA,50.28,0.0,2.88,有
東區,土地,虎尾寮段481~510地號,17.0,其他,,,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,102941,,0.0,0,,RPRNMLOLQHPFFCD88DA,0.0,0.0,0.0,無
南區,土地,新興段241~270地號,146.0,其他,,,1090508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14800000,101370,,0.0,0,未登記建物;,RPVOMLPLQHPFFCD86DA,0.0,0.0,0.0,無
南區,房地(土地+建物),三官路211~240號,91.0,其他,,,1090724,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0650920,162.7,3,2,3,有,無,9500000,58390,,0.0,0,,RPWOMLTKQHPFFCD27DA,162.7,0.0,0.0,無
東區,房地(土地+建物)+車位,崇信街121~150號,10.37,其他,,,1090730,土地3建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850209,123.39,2,1,1,有,有,7000000,56731,坡道機械,0.0,0,,RPWNMLOLQHPFFCD76DA,88.26,0.0,10.63,有
東區,房地(土地+建物),崇善東路1~30號,13.14,其他,,,1090724,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890202,73.38,2,2,1,有,有,3600000,49060,,0.0,0,,RPTPMLLLQHPFFCD98DA,51.06,0.0,7.31,有
